Era,Feature,Base,Lag,r,p,sig,n,target
Full,finbert_max,finbert_max,0,0.2855,0.0382,*,53,MRO_diff
Full,roberta_max,roberta_max,0,0.2539,0.0666,,53,MRO_diff
Full,finbert_mean,finbert_mean,0,0.2771,0.0446,*,53,MRO_diff
Full,roberta_mean,roberta_mean,0,0.0338,0.81,,53,MRO_diff
Full,finbert_min,finbert_min,0,0.2211,0.1116,,53,MRO_diff
Full,roberta_min,roberta_min,0,-0.1465,0.2953,,53,MRO_diff
Full,finbert_std,finbert_std,0,-0.1236,0.378,,53,MRO_diff
Full,roberta_std,roberta_std,0,0.102,0.4673,,53,MRO_diff
Full,finbert_count,finbert_count,0,0.1289,0.3577,,53,MRO_diff
Full,roberta_count,roberta_count,0,0.1283,0.36,,53,MRO_diff
Full,finbert_IS_max,finbert_IS_max,0,0.2539,0.0665,,53,MRO_diff
Full,finbert_QA_max,finbert_QA_max,0,0.0878,0.5317,,53,MRO_diff
Full,roberta_IS_max,roberta_IS_max,0,0.2718,0.049,*,53,MRO_diff
Full,roberta_QA_max,roberta_QA_max,0,0.0376,0.7894,,53,MRO_diff
Full,finbert_IS_mean,finbert_IS_mean,0,0.152,0.2773,,53,MRO_diff
Full,finbert_QA_mean,finbert_QA_mean,0,0.3547,0.0092,**,53,MRO_diff
Full,roberta_IS_mean,roberta_IS_mean,0,0.0814,0.5622,,53,MRO_diff
Full,roberta_QA_mean,roberta_QA_mean,0,0.0495,0.7248,,53,MRO_diff
Full,finbert_IS_min,finbert_IS_min,0,0.3183,0.0202,*,53,MRO_diff
Full,finbert_QA_min,finbert_QA_min,0,0.1874,0.1791,,53,MRO_diff
Full,roberta_IS_min,roberta_IS_min,0,-0.1282,0.3601,,53,MRO_diff
Full,roberta_QA_min,roberta_QA_min,0,-0.1261,0.3683,,53,MRO_diff
Full,finbert_IS_std,finbert_IS_std,0,-0.1467,0.2947,,53,MRO_diff
Full,finbert_QA_std,finbert_QA_std,0,-0.2641,0.056,,53,MRO_diff
Full,roberta_IS_std,roberta_IS_std,0,0.1933,0.1656,,53,MRO_diff
Full,roberta_QA_std,roberta_QA_std,0,-0.0103,0.9418,,53,MRO_diff
Full,finbert_IS_count,finbert_IS_count,0,0.2123,0.1269,,53,MRO_diff
Full,finbert_QA_count,finbert_QA_count,0,0.0819,0.5597,,53,MRO_diff
Full,roberta_IS_count,roberta_IS_count,0,0.2123,0.1269,,53,MRO_diff
Full,roberta_QA_count,roberta_QA_count,0,0.0819,0.5597,,53,MRO_diff
Full,finbert_EP_max,finbert_EP_max,0,0.2336,0.0922,,53,MRO_diff
Full,finbert_FS_max,finbert_FS_max,0,-0.4312,0.0013,**,53,MRO_diff
Full,finbert_MP_max,finbert_MP_max,0,0.3099,0.024,*,53,MRO_diff
Full,roberta_EP_max,roberta_EP_max,0,0.4589,0.0005,***,53,MRO_diff
Full,roberta_FS_max,roberta_FS_max,0,-0.1163,0.4069,,53,MRO_diff
Full,roberta_MP_max,roberta_MP_max,0,-0.0799,0.5697,,53,MRO_diff
Full,finbert_EP_mean,finbert_EP_mean,0,0.1832,0.1892,,53,MRO_diff
Full,finbert_FS_mean,finbert_FS_mean,0,0.1345,0.337,,53,MRO_diff
Full,finbert_MP_mean,finbert_MP_mean,0,0.4264,0.0015,**,53,MRO_diff
Full,roberta_EP_mean,roberta_EP_mean,0,0.1456,0.2981,,53,MRO_diff
Full,roberta_FS_mean,roberta_FS_mean,0,0.214,0.1239,,53,MRO_diff
Full,roberta_MP_mean,roberta_MP_mean,0,-0.2508,0.0701,,53,MRO_diff
Full,finbert_EP_min,finbert_EP_min,0,0.2945,0.0323,*,53,MRO_diff
Full,finbert_FS_min,finbert_FS_min,0,0.2632,0.0569,,53,MRO_diff
Full,finbert_MP_min,finbert_MP_min,0,0.3129,0.0225,*,53,MRO_diff
Full,roberta_EP_min,roberta_EP_min,0,0.3434,0.0118,*,53,MRO_diff
Full,roberta_FS_min,roberta_FS_min,0,0.2308,0.0964,,53,MRO_diff
Full,roberta_MP_min,roberta_MP_min,0,-0.3454,0.0113,*,53,MRO_diff
