Era,Feature,Base,Lag,IsDelta,r,p,sig,n,target
Full_composite,finbert_max,finbert_max,0,False,0.098,0.2954,,116,composite_diff
Full_composite,roberta_max,roberta_max,0,False,0.0577,0.5383,,116,composite_diff
Full_composite,finbert_mean,finbert_mean,0,False,0.1339,0.1517,,116,composite_diff
Full_composite,roberta_mean,roberta_mean,0,False,0.0769,0.4116,,116,composite_diff
Full_composite,finbert_min,finbert_min,0,False,0.0389,0.6782,,116,composite_diff
Full_composite,roberta_min,roberta_min,0,False,-0.0719,0.4428,,116,composite_diff
Full_composite,finbert_std,finbert_std,0,False,0.0591,0.5283,,116,composite_diff
Full_composite,roberta_std,roberta_std,0,False,0.1064,0.2558,,116,composite_diff
Full_composite,finbert_IS_max,finbert_IS_max,0,False,0.1009,0.2813,,116,composite_diff
Full_composite,finbert_QA_max,finbert_QA_max,0,False,0.0903,0.3352,,116,composite_diff
Full_composite,roberta_IS_max,roberta_IS_max,0,False,0.1135,0.2251,,116,composite_diff
Full_composite,roberta_QA_max,roberta_QA_max,0,False,0.0341,0.7163,,116,composite_diff
Full_composite,finbert_IS_mean,finbert_IS_mean,0,False,0.0402,0.6681,,116,composite_diff
Full_composite,finbert_QA_mean,finbert_QA_mean,0,False,0.1716,0.0655,,116,composite_diff
Full_composite,roberta_IS_mean,roberta_IS_mean,0,False,0.0078,0.9338,,116,composite_diff
Full_composite,roberta_QA_mean,roberta_QA_mean,0,False,0.0965,0.3028,,116,composite_diff
Full_composite,finbert_IS_min,finbert_IS_min,0,False,0.1671,0.0729,,116,composite_diff
Full_composite,finbert_QA_min,finbert_QA_min,0,False,0.0886,0.3442,,116,composite_diff
Full_composite,roberta_IS_min,roberta_IS_min,0,False,-0.0589,0.53,,116,composite_diff
Full_composite,roberta_QA_min,roberta_QA_min,0,False,-0.0702,0.454,,116,composite_diff
Full_composite,finbert_IS_std,finbert_IS_std,0,False,-0.0288,0.7586,,116,composite_diff
Full_composite,finbert_QA_std,finbert_QA_std,0,False,-0.0036,0.9694,,116,composite_diff
Full_composite,roberta_IS_std,roberta_IS_std,0,False,0.1525,0.1021,,116,composite_diff
Full_composite,roberta_QA_std,roberta_QA_std,0,False,0.0648,0.4897,,116,composite_diff
Full_composite,finbert_EP_max,finbert_EP_max,0,False,0.121,0.1955,,116,composite_diff
Full_composite,finbert_FS_max,finbert_FS_max,0,False,-0.1614,0.0835,,116,composite_diff
Full_composite,finbert_MP_max,finbert_MP_max,0,False,0.1317,0.1587,,116,composite_diff
Full_composite,roberta_EP_max,roberta_EP_max,0,False,0.1414,0.1299,,116,composite_diff
Full_composite,roberta_FS_max,roberta_FS_max,0,False,0.0219,0.8156,,116,composite_diff
Full_composite,roberta_MP_max,roberta_MP_max,0,False,-0.0748,0.4249,,116,composite_diff
Full_composite,finbert_EP_mean,finbert_EP_mean,0,False,-0.0269,0.7743,,116,composite_diff
Full_composite,finbert_FS_mean,finbert_FS_mean,0,False,0.0603,0.5204,,116,composite_diff
Full_composite,finbert_MP_mean,finbert_MP_mean,0,False,0.1597,0.0869,,116,composite_diff
Full_composite,roberta_EP_mean,roberta_EP_mean,0,False,0.1273,0.1734,,116,composite_diff
Full_composite,roberta_FS_mean,roberta_FS_mean,0,False,0.0156,0.8676,,116,composite_diff
Full_composite,roberta_MP_mean,roberta_MP_mean,0,False,-0.073,0.4362,,116,composite_diff
Full_composite,finbert_EP_min,finbert_EP_min,0,False,0.0896,0.3386,,116,composite_diff
Full_composite,finbert_FS_min,finbert_FS_min,0,False,0.1574,0.0916,,116,composite_diff
Full_composite,finbert_MP_min,finbert_MP_min,0,False,0.1856,0.0461,*,116,composite_diff
Full_composite,roberta_EP_min,roberta_EP_min,0,False,0.0219,0.8158,,116,composite_diff
Full_composite,roberta_FS_min,roberta_FS_min,0,False,0.1297,0.1653,,116,composite_diff
Full_composite,roberta_MP_min,roberta_MP_min,0,False,-0.1268,0.1749,,116,composite_diff
Full_composite,finbert_EP_std,finbert_EP_std,0,False,0.0628,0.5033,,116,composite_diff
Full_composite,finbert_FS_std,finbert_FS_std,0,False,-0.1398,0.1344,,116,composite_diff
Full_composite,finbert_MP_std,finbert_MP_std,0,False,-0.0926,0.323,,116,composite_diff
Full_composite,roberta_EP_std,roberta_EP_std,0,False,0.045,0.6316,,116,composite_diff
Full_composite,roberta_FS_std,roberta_FS_std,0,False,0.047,0.6161,,116,composite_diff
Full_composite,roberta_MP_std,roberta_MP_std,0,False,0.0415,0.6581,,116,composite_diff
Full_composite,finbert_IS_EP_max,finbert_IS_EP_max,0,False,0.1445,0.1218,,116,composite_diff
Full_composite,finbert_IS_MP_max,finbert_IS_MP_max,0,False,0.1784,0.0553,,116,composite_diff
Full_composite,finbert_QA_EP_max,finbert_QA_EP_max,0,False,0.01,0.9153,,116,composite_diff
Full_composite,finbert_QA_FS_max,finbert_QA_FS_max,0,False,0.0905,0.3341,,116,composite_diff
Full_composite,finbert_QA_MP_max,finbert_QA_MP_max,0,False,0.0885,0.3446,,116,composite_diff
Full_composite,roberta_IS_EP_max,roberta_IS_EP_max,0,False,-0.0289,0.7581,,116,composite_diff
Full_composite,roberta_IS_MP_max,roberta_IS_MP_max,0,False,-0.1164,0.2135,,116,composite_diff
Full_composite,roberta_QA_EP_max,roberta_QA_EP_max,0,False,0.039,0.6777,,116,composite_diff
Full_composite,roberta_QA_FS_max,roberta_QA_FS_max,0,False,-0.0314,0.7378,,116,composite_diff
Full_composite,roberta_QA_MP_max,roberta_QA_MP_max,0,False,0.0548,0.5593,,116,composite_diff
Full_composite,finbert_IS_EP_mean,finbert_IS_EP_mean,0,False,-0.0158,0.8666,,116,composite_diff
Full_composite,finbert_IS_MP_mean,finbert_IS_MP_mean,0,False,0.1292,0.1669,,116,composite_diff
Full_composite,finbert_QA_EP_mean,finbert_QA_EP_mean,0,False,0.0542,0.5632,,116,composite_diff
Full_composite,finbert_QA_FS_mean,finbert_QA_FS_mean,0,False,0.0853,0.3627,,116,composite_diff
Full_composite,finbert_QA_MP_mean,finbert_QA_MP_mean,0,False,0.1554,0.0959,,116,composite_diff
Full_composite,roberta_IS_EP_mean,roberta_IS_EP_mean,0,False,0.1123,0.23,,116,composite_diff
Full_composite,roberta_IS_MP_mean,roberta_IS_MP_mean,0,False,-0.1161,0.2145,,116,composite_diff
Full_composite,roberta_QA_EP_mean,roberta_QA_EP_mean,0,False,0.0883,0.3461,,116,composite_diff
Full_composite,roberta_QA_FS_mean,roberta_QA_FS_mean,0,False,-0.0315,0.7371,,116,composite_diff
Full_composite,roberta_QA_MP_mean,roberta_QA_MP_mean,0,False,0.0238,0.7995,,116,composite_diff
Full_composite,finbert_IS_EP_min,finbert_IS_EP_min,0,False,0.06,0.5222,,116,composite_diff
Full_composite,finbert_IS_MP_min,finbert_IS_MP_min,0,False,0.1263,0.1766,,116,composite_diff
Full_composite,finbert_QA_EP_min,finbert_QA_EP_min,0,False,-0.0231,0.8055,,116,composite_diff
Full_composite,finbert_QA_FS_min,finbert_QA_FS_min,0,False,0.0223,0.8118,,116,composite_diff
Full_composite,finbert_QA_MP_min,finbert_QA_MP_min,0,False,0.2044,0.0278,*,116,composite_diff
Full_composite,roberta_IS_EP_min,roberta_IS_EP_min,0,False,0.015,0.8729,,116,composite_diff
Full_composite,roberta_IS_MP_min,roberta_IS_MP_min,0,False,-0.0685,0.465,,116,composite_diff
Full_composite,roberta_QA_EP_min,roberta_QA_EP_min,0,False,0.0746,0.4261,,116,composite_diff
Full_composite,roberta_QA_FS_min,roberta_QA_FS_min,0,False,-0.0277,0.7678,,116,composite_diff
Full_composite,roberta_QA_MP_min,roberta_QA_MP_min,0,False,-0.1034,0.2695,,116,composite_diff
Full_composite,finbert_IS_EP_std,finbert_IS_EP_std,0,False,-0.0432,0.6454,,116,composite_diff
Full_composite,finbert_IS_MP_std,finbert_IS_MP_std,0,False,-0.0564,0.5475,,116,composite_diff
Full_composite,finbert_QA_EP_std,finbert_QA_EP_std,0,False,0.0067,0.9434,,116,composite_diff
Full_composite,finbert_QA_FS_std,finbert_QA_FS_std,0,False,0.079,0.3995,,116,composite_diff
Full_composite,finbert_QA_MP_std,finbert_QA_MP_std,0,False,-0.1251,0.181,,116,composite_diff
Full_composite,roberta_IS_EP_std,roberta_IS_EP_std,0,False,-0.0782,0.4038,,116,composite_diff
Full_composite,roberta_IS_MP_std,roberta_IS_MP_std,0,False,0.0006,0.9951,,116,composite_diff
Full_composite,roberta_QA_EP_std,roberta_QA_EP_std,0,False,0.0184,0.8446,,116,composite_diff
