Era,Feature,Base,Lag,IsDelta,r,p,sig,n,target
Full_composite,finbert_mean,finbert_mean,0,False,0.1375,0.1411,,116,composite_diff
Full_composite,finbert_QA_mean,finbert_QA_mean,0,False,0.1558,0.095,,116,composite_diff
Full_composite,finbert_QA_min,finbert_QA_min,0,False,0.0887,0.3437,,116,composite_diff
Full_composite,finbert_MP_mean,finbert_MP_mean,0,False,0.1169,0.2116,,116,composite_diff
Full_composite,finbert_QA_MP_mean,finbert_QA_MP_mean,0,False,0.0721,0.4416,,116,composite_diff
Full_composite,finbert_QA_EP_min,finbert_QA_EP_min,0,False,0.1646,0.0775,,116,composite_diff
Full_composite,finbert_mean:lag1,finbert_mean,1,False,0.1663,0.0744,,116,composite_diff
Full_composite,finbert_mean:lag2,finbert_mean,2,False,0.1632,0.08,,116,composite_diff
Full_composite,finbert_mean:lag3,finbert_mean,3,False,0.2256,0.0149,*,116,composite_diff
Full_composite,finbert_mean:lag4,finbert_mean,4,False,0.3495,0.0001,***,116,composite_diff
Full_composite,finbert_mean:lag5,finbert_mean,5,False,0.1554,0.0971,,115,composite_diff
Full_composite,finbert_mean:lag6,finbert_mean,6,False,0.2228,0.0167,*,115,composite_diff
Full_composite,finbert_mean:lag7,finbert_mean,7,False,0.2027,0.0298,*,115,composite_diff
Full_composite,finbert_mean:lag8,finbert_mean,8,False,0.1934,0.0384,*,115,composite_diff
Full_composite,finbert_mean:lag9,finbert_mean,9,False,0.1671,0.0744,,115,composite_diff
Full_composite,finbert_mean:lag10,finbert_mean,10,False,0.271,0.0034,**,115,composite_diff
Full_composite,finbert_mean:lag11,finbert_mean,11,False,0.2318,0.0131,*,114,composite_diff
Full_composite,finbert_mean:lag12,finbert_mean,12,False,0.1958,0.0368,*,114,composite_diff
Full_composite,finbert_mean:lag13,finbert_mean,13,False,0.1704,0.07,,114,composite_diff
Full_composite,finbert_mean:lag14,finbert_mean,14,False,0.1097,0.2473,,113,composite_diff
Full_composite,finbert_mean:lag15,finbert_mean,15,False,0.1919,0.0426,*,112,composite_diff
Full_composite,finbert_QA_mean:lag1,finbert_QA_mean,1,False,0.2765,0.0027,**,116,composite_diff
Full_composite,finbert_QA_mean:lag2,finbert_QA_mean,2,False,0.1285,0.1693,,116,composite_diff
Full_composite,finbert_QA_mean:lag3,finbert_QA_mean,3,False,0.2857,0.0019,**,116,composite_diff
Full_composite,finbert_QA_mean:lag4,finbert_QA_mean,4,False,0.3682,0.0,***,116,composite_diff
Full_composite,finbert_QA_mean:lag5,finbert_QA_mean,5,False,0.2249,0.0157,*,115,composite_diff
Full_composite,finbert_QA_mean:lag6,finbert_QA_mean,6,False,0.3419,0.0002,***,115,composite_diff
Full_composite,finbert_QA_mean:lag7,finbert_QA_mean,7,False,0.1621,0.0835,,115,composite_diff
Full_composite,finbert_QA_mean:lag8,finbert_QA_mean,8,False,0.2237,0.0162,*,115,composite_diff
Full_composite,finbert_QA_mean:lag9,finbert_QA_mean,9,False,0.1571,0.0936,,115,composite_diff
Full_composite,finbert_QA_mean:lag10,finbert_QA_mean,10,False,0.2575,0.0055,**,115,composite_diff
Full_composite,finbert_QA_mean:lag11,finbert_QA_mean,11,False,0.2398,0.0105,*,113,composite_diff
Full_composite,finbert_QA_mean:lag12,finbert_QA_mean,12,False,0.1887,0.0463,*,112,composite_diff
Full_composite,finbert_QA_mean:lag13,finbert_QA_mean,13,False,0.0953,0.3132,,114,composite_diff
Full_composite,finbert_QA_mean:lag14,finbert_QA_mean,14,False,0.0844,0.3765,,112,composite_diff
Full_composite,finbert_QA_mean:lag15,finbert_QA_mean,15,False,0.0603,0.5312,,110,composite_diff
Full_composite,finbert_QA_min:lag1,finbert_QA_min,1,False,0.1366,0.1438,,116,composite_diff
Full_composite,finbert_QA_min:lag2,finbert_QA_min,2,False,0.2459,0.0078,**,116,composite_diff
Full_composite,finbert_QA_min:lag3,finbert_QA_min,3,False,0.1566,0.0931,,116,composite_diff
Full_composite,finbert_QA_min:lag4,finbert_QA_min,4,False,0.3524,0.0001,***,116,composite_diff
Full_composite,finbert_QA_min:lag5,finbert_QA_min,5,False,0.2073,0.0262,*,115,composite_diff
Full_composite,finbert_QA_min:lag6,finbert_QA_min,6,False,0.2542,0.0061,**,115,composite_diff
Full_composite,finbert_QA_min:lag7,finbert_QA_min,7,False,-0.0081,0.9313,,115,composite_diff
Full_composite,finbert_QA_min:lag8,finbert_QA_min,8,False,0.1892,0.0428,*,115,composite_diff
Full_composite,finbert_QA_min:lag9,finbert_QA_min,9,False,0.1588,0.09,,115,composite_diff
Full_composite,finbert_QA_min:lag10,finbert_QA_min,10,False,0.1752,0.0611,,115,composite_diff
Full_composite,finbert_QA_min:lag11,finbert_QA_min,11,False,0.2134,0.0232,*,113,composite_diff
Full_composite,finbert_QA_min:lag12,finbert_QA_min,12,False,0.0807,0.3978,,112,composite_diff
Full_composite,finbert_QA_min:lag13,finbert_QA_min,13,False,0.0194,0.8377,,114,composite_diff
