Feature,Full,Hiking,Pre-ZLB,ZLB
finbert_IS_max:lag2,0.6128,0.2094,0.6811,-0.1829
roberta_IS_EP_max:lag2,0.5869,-0.3088,0.7163,0.0712
finbert_max:lag2,0.5753,0.1914,0.6394,-0.18
roberta_IS_max:lag2,0.5653,-0.3088,0.7779,0.0029
finbert_QA_MP_mean:lag4,0.5644,0.5663,0.5481,0.2829
finbert_MP_mean:lag4,0.5635,0.6245,0.7139,0.2849
finbert_mean:lag4,0.5507,0.6126,0.8473,0.2214
finbert_QA_mean:lag4,0.5501,0.6033,0.6697,0.241
roberta_max:lag5,0.5364,0.1185,0.6865,0.0007
roberta_EP_max:lag5,0.5322,0.1185,0.6589,-0.0706
finbert_IS_MP_max,0.5232,0.2899,0.6371,0.1126
finbert_QA_EP_min:lag6,0.5017,0.2658,0.7063,0.1899
finbert_QA_EP_std:lag2,-0.4952,-0.0267,-0.6265,0.005
finbert_QA_min:lag3,0.4714,0.4562,0.5078,-0.099
finbert_MP_max,0.4647,0.2899,0.5657,0.0907
finbert_QA_EP_mean:lag2,0.4574,0.1567,0.5781,-0.2132
roberta_MP_std:lag15,0.4542,0.6384,0.4482,0.0598
finbert_IS_MP_mean:lag10,0.4393,0.8112,0.3161,0.0382
finbert_FS_mean:lag4,0.4356,0.2805,0.4044,0.1595
roberta_EP_std:lag9,0.4316,0.7296,0.3018,-0.0168
roberta_QA_MP_min:lag1,-0.429,-0.3502,-0.449,0.0229
roberta_IS_std:lag2,0.4223,-0.0862,0.7197,0.0837
finbert_QA_MP_min:lag4,0.4161,0.3393,0.4884,0.1406
finbert_QA_std:lag3,-0.4159,-0.4469,-0.3974,0.0078
roberta_EP_mean:lag4,0.4153,-0.5221,0.8525,0.1505
