Feature,Full,Hiking,Pre-ZLB,ZLB
finbert_IS_max:lag2,0.6128,0.5781,0.6811,-0.2318
roberta_IS_EP_max:lag2,0.5869,-0.1251,0.7163,0.0
finbert_max:lag2,0.5753,0.5781,0.6394,-0.2091
roberta_IS_max:lag2,0.5653,-0.1251,0.7779,-0.068
finbert_QA_MP_mean:lag4,0.5644,0.642,0.5481,0.2051
finbert_MP_mean:lag4,0.5635,0.7864,0.7139,0.2231
finbert_mean:lag4,0.5507,0.7683,0.8473,0.1861
finbert_QA_mean:lag4,0.5501,0.6468,0.6697,0.1695
roberta_max:lag5,0.5364,0.3838,0.6865,-0.0582
roberta_EP_max:lag5,0.5322,0.3838,0.6589,-0.1734
finbert_IS_MP_max,0.5232,0.4802,0.6371,0.1045
finbert_QA_EP_min:lag6,0.5017,0.2054,0.7063,0.1949
finbert_QA_EP_std:lag2,-0.4952,-0.1839,-0.6265,0.0082
finbert_QA_min:lag3,0.4714,0.6288,0.5078,-0.0794
finbert_MP_max,0.4647,0.4802,0.5657,0.0779
finbert_QA_EP_mean:lag2,0.4574,0.228,0.5781,-0.1519
roberta_MP_std:lag15,0.4542,0.5952,0.4482,-0.0605
finbert_IS_MP_mean:lag10,0.4393,0.7224,0.3161,-0.0836
finbert_FS_mean:lag4,0.4356,0.2729,0.4044,0.0945
roberta_EP_std:lag9,0.4316,0.9028,0.3018,-0.0787
roberta_QA_MP_min:lag1,-0.429,-0.7281,-0.449,0.042
roberta_IS_std:lag2,0.4223,-0.1444,0.7197,0.0343
finbert_QA_MP_min:lag4,0.4161,0.6296,0.4884,0.2019
finbert_QA_std:lag3,-0.4159,-0.653,-0.3974,0.0689
roberta_EP_mean:lag4,0.4153,-0.4458,0.8525,0.138
