Feature,Full,Full_composite,Hiking,Pre-ZLB,ZLB
finbert_QA_MP_mean:lag4,0.5407,0.4074,0.5663,0.5481,0.2829
finbert_MP_mean:lag4,0.5479,0.4002,0.6245,0.7139,0.2849
finbert_QA_mean:lag4,0.5467,0.3943,0.6033,0.6697,0.241
finbert_FS_mean,0.3436,0.3873,0.0146,0.4619,0.41
finbert_mean:lag10,0.4863,0.364,0.8532,0.381,0.275
roberta_EP_mean:lag10,0.4203,0.3628,0.6663,0.4346,0.3105
finbert_IS_max:lag8,0.2047,-0.3616,0.6131,0.0646,-0.4957
finbert_QA_EP_mean:lag6,0.3713,0.3388,0.1291,0.5808,0.2809
finbert_FS_min,0.3541,0.3352,-0.0397,0.5346,0.3
roberta_IS_std:lag1,0.2845,0.334,-0.0281,0.5002,0.3232
roberta_mean:lag10,0.2409,0.3331,0.3358,0.384,0.3567
finbert_QA_EP_min:lag6,0.4888,0.3182,0.2658,0.7063,0.1899
finbert_IS_MP_std:lag8,-0.1743,-0.3117,-0.4582,-0.464,-0.3388
roberta_IS_MP_min:lag1,-0.2831,-0.307,-0.3634,-0.2919,-0.2524
finbert_QA_min:lag4,0.423,0.2987,0.4185,0.4977,0.1849
roberta_QA_EP_mean:lag10,0.2392,0.2984,0.2546,0.3131,0.3063
roberta_FS_min,0.1605,0.2956,-0.0563,0.2533,0.3657
finbert_MP_min:lag8,0.255,0.2739,0.6304,0.3382,0.2533
roberta_min:lag8,0.209,0.2701,-0.0613,0.2855,0.2578
roberta_IS_MP_mean:lag1,-0.3101,-0.2671,-0.6412,-0.0951,-0.2758
roberta_std:lag12,0.301,0.2671,0.4364,0.3139,0.2423
finbert_min:lag8,0.1741,0.2648,0.7226,0.333,0.3127
roberta_FS_std:lag15,0.1891,0.2633,0.5115,-0.217,0.268
roberta_FS_mean,0.1616,0.2553,-0.3957,0.335,0.2901
roberta_IS_MP_max:lag15,0.323,0.2542,0.6811,0.1323,0.188
